,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
1,0000000046,1,FIRST NB,FIRST NATIONAL BANK OF MCCONNE,129
2,0000000047,1,FIRST FNCL BK NA,FIRST FINANCIAL BANK NA,2695
3,0000000086,1,FIRST NB,FIRST NATIONAL BANK OF GERMANT,38
4,0000000324,1,FIRST NB&TC NEWTOWN,FIRST NATIONAL BANK AND TRUST,184
5,0000000325,1,FNB BK NA,"FNB BANK, NA",270
6,0000000347,1,FIRST NB LACON,FIRST NATIONAL BANK OF LACON,19
7,0000000446,1,FIRST NATIONAL BANK,FIRST NATIONAL BANK,991
8,0000000497,1,FIRST NB,THE FIRST NATIONAL BANK OF SUF,262
9,0000000644,1,HONESDALE NB,THE HONESDALE NATIONAL BANK,639
10,0000000661,1,DNB FIRST NA,"DNB FIRST, NA",180
11,0000000676,1,NATIONAL GRAND BK OF MARBLEH,NATIONAL GRAND BANK,114
12,0000000866,1,MILFORD NB&TC,THE MILFORD NATIONAL BANK,140
13,0000000929,1,NATIONAL UNION BK,THE NATIONAL UNION BANK OF KIN,115
14,0000000976,1,PUTNAM COUNTY NB OF CARMEL,PUTNAM COUNTY NATIONAL BANK,23
15,0000001027,1,LYONS NB,THE LYONS NATIONAL BANK,1131
16,0000001083,1,FIRST NB OF GROTON,THE FIRST NATL BANK OF GROTON,238
17,0000001154,1,FIRST NB OF OTTAWA,FIRST NATIONAL BANK OF OTTAWA,413
18,0000001195,1,NATIONAL BK OF MIDDLEBURY,NATIONAL BANK OF MIDDLEBURY,371
19,0000001253,1,BALLSTON SPA NB,BALLSTON SPA NATIONAL BANK,430
20,0000001354,1,NBT BK NA,NBT BANK NA,3442
21,0000001368,1,COMMUNITY NB,COMMUNITY NATIONAL BANK,451
22,0000001398,1,NATIONAL BK OF COXSACKIE,NATIONAL BANK OF COXSACKIE,170
23,0000001467,1,LANDMARK BK NA,LANDMARK BANK N.A.,2960
24,0000001493,1,FIRST SOUTHERN NB,FIRST SOUTHERN NATIONAL BANK,903
25,0000001750,1,FIRST NB OF SANTA FE,FIRST NATIONAL BANK OF SANTA F,51
26,0000001794,1,FIRST NB MN,FIRST NATIONAL BANK MINNESOTA,30
27,0000001926,1,FIRST NB&TC,FIRST NATIONAL BANK AND TRUST,41
28,0000001950,1,FIRST NB OF FORT SMITH,FIRST NATIONAL BANK,398
29,0000002036,1,VINTON CTY NB,VINTON COUNTY NATIONAL BANK,731
30,0000002068,1,FIRST DAKOTA NB,FIRST DAKOTA NATIONAL BANK,1061
31,0000002221,1,FIRST NB OF MIDDLE TN,FNB OF MIDDLE TENNESSEE,1253
