FID,FID_P21inc,FID_1,Shape_Leng,Shape_Area,Shape__Are,Shape__Len,FID_clip_t,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,area,interarea,percentage
0,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,18,25,025,180500,25025180500,1805,Census Tract 1805,G5020,S,782843.000000000000000,1893415.000000000000000,+42.3673241,-070.9695072,193.617951385000000,26.135574271100001,0.1349850
1,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,19,25,025,170800,25025170800,1708,Census Tract 1708,G5020,S,843082.000000000000000,503599.000000000000000,+42.3958704,-070.9841693,208.300532139000010,48.887622843300001,0.2346980
2,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,24,25,025,160400,25025160400,1604,Census Tract 1604,G5020,S,1294086.000000000000000,3542.000000000000000,+42.3953160,-071.0424960,319.874592951000010,0.169510019831000,0.0005299
3,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,25,25,025,160200,25025160200,1602,Census Tract 1602,G5020,S,222152.000000000000000,0.000000000000000,+42.3897840,-071.0357615,54.888154452300000,0.329968900284000,0.0060117
4,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,48,25,025,100800,25025100800,1008,Census Tract 1008,G5020,S,1765783.000000000000000,141896.000000000000000,+42.2771920,-071.0638243,432.642995005999980,81.471087616299997,0.1883100
5,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,53,25,025,981300,25025981300,9813,Census Tract 9813,G5020,S,7157254.000000000000000,2015092.000000000000000,+42.3611289,-071.0069754,1770.684652599999900,90.360322873200005,0.0510313
6,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,54,25,025,981201,25025981201,9812.01,Census Tract 9812.01,G5020,S,786643.000000000000000,1328333.000000000000000,+42.3320503,-071.0270465,191.571903528000010,58.937477584200003,0.3076520
7,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,55,25,025,990101,25025990101,9901.01,Census Tract 9901.01,G5020,S,0.000000000000000,134592489.000000000000000,+42.3296110,-070.9491995,11.612525736200000,3.767351882490000,0.3244210
8,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,56,25,025,981501,25025981501,9815.01,Census Tract 9815.01,G5020,S,915439.000000000000000,1178787.000000000000000,+42.3524288,-071.0878101,516.711467727000010,316.998508119000010,0.6134920
9,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,74,25,025,071201,25025071201,712.01,Census Tract 712.01,G5020,S,402228.000000000000000,0.000000000000000,+42.3398063,-071.0670729,99.384410212999995,0.116949964280000,0.0011767
10,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,75,25,025,091001,25025091001,910.01,Census Tract 910.01,G5020,S,1186620.000000000000000,449817.000000000000000,+42.3082694,-071.0516795,295.126131773999990,73.984951881599997,0.2506890
11,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,80,25,025,091100,25025091100,911,Census Tract 911,G5020,S,423899.000000000000000,0.000000000000000,+42.3156410,-071.0555949,104.737506424000000,2.808476629120000,0.0268144
12,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,81,25,025,090700,25025090700,907,Census Tract 907,G5020,S,1072571.000000000000000,0.000000000000000,+42.3241310,-071.0600285,265.011417708000010,24.853132542299999,0.0937814
13,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,86,25,025,980101,25025980101,9801.01,Census Tract 9801.01,G5020,S,3191250.000000000000000,5488830.000000000000000,+42.3265116,-070.9390337,793.223229718999960,182.359309537000000,0.2298970
14,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,87,25,025,170701,25025170701,1707.01,Census Tract 1707.01,G5020,S,507247.000000000000000,153379.000000000000000,+42.4022230,-070.9936992,127.537769650000000,8.776468531300001,0.0688147
15,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,88,25,025,040801,25025040801,408.01,Census Tract 408.01,G5020,S,952430.000000000000000,752502.000000000000000,+42.3790410,-071.0520372,235.652889689999990,92.574278099200001,0.3928420
16,0,1,497872.300800000030000,79502757.459800005000000,0.008685409393300,5.319241414560000,126,25,025,100700,25025100700,1007,Census Tract 1007,G5020,S,1203877.000000000000000,173339.000000000000000,+42.2826719,-071.0479602,300.967518976000010,29.158236612600000,0.0968817
