FID,FID_P9inch,FID_1,Shape_Leng,Shape_Area,Shape__Are,Shape__Len,FID_clip_t,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,area,interarea,percentage
0,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,18,25,025,180500,25025180500,1805,Census Tract 1805,G5020,S,782843.000000000000000,1893415.000000000000000,+42.3673241,-070.9695072,193.617951385000000,26.135462111700001,0.134984705317000
1,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,19,25,025,170800,25025170800,1708,Census Tract 1708,G5020,S,843082.000000000000000,503599.000000000000000,+42.3958704,-070.9841693,208.300532139000010,48.040194572399997,0.230629245538000
2,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,24,25,025,160400,25025160400,1604,Census Tract 1604,G5020,S,1294086.000000000000000,3542.000000000000000,+42.3953160,-071.0424960,319.874592951000010,0.169510019831000,0.000529926488588
3,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,25,25,025,160200,25025160200,1602,Census Tract 1602,G5020,S,222152.000000000000000,0.000000000000000,+42.3897840,-071.0357615,54.888154452300000,0.123956252948000,0.002258342518250
4,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,48,25,025,100800,25025100800,1008,Census Tract 1008,G5020,S,1765783.000000000000000,141896.000000000000000,+42.2771920,-071.0638243,432.642995005999980,79.961892577399993,0.184821882015000
5,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,53,25,025,981300,25025981300,9813,Census Tract 9813,G5020,S,7157254.000000000000000,2015092.000000000000000,+42.3611289,-071.0069754,1770.684652599999900,98.959653681999995,0.055887790938200
6,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,54,25,025,981201,25025981201,9812.01,Census Tract 9812.01,G5020,S,786643.000000000000000,1328333.000000000000000,+42.3320503,-071.0270465,191.571903528000010,54.449149719799998,0.284223044805000
7,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,55,25,025,990101,25025990101,9901.01,Census Tract 9901.01,G5020,S,0.000000000000000,134592489.000000000000000,+42.3296110,-070.9491995,11.612525736200000,3.725242203740000,0.320795173106000
8,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,56,25,025,981501,25025981501,9815.01,Census Tract 9815.01,G5020,S,915439.000000000000000,1178787.000000000000000,+42.3524288,-071.0878101,516.711467727000010,316.998508119000010,0.613492302606000
9,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,75,25,025,091001,25025091001,910.01,Census Tract 910.01,G5020,S,1186620.000000000000000,449817.000000000000000,+42.3082694,-071.0516795,295.126131773999990,43.866158727699997,0.148635291846000
10,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,86,25,025,980101,25025980101,9801.01,Census Tract 9801.01,G5020,S,3191250.000000000000000,5488830.000000000000000,+42.3265116,-070.9390337,793.223229718999960,177.758669215999990,0.224096650925000
11,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,87,25,025,170701,25025170701,1707.01,Census Tract 1707.01,G5020,S,507247.000000000000000,153379.000000000000000,+42.4022230,-070.9936992,127.537769650000000,8.591124117450001,0.067361410984600
12,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,88,25,025,040801,25025040801,408.01,Census Tract 408.01,G5020,S,952430.000000000000000,752502.000000000000000,+42.3790410,-071.0520372,235.652889689999990,81.080682980700004,0.344068273839000
13,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,126,25,025,100700,25025100700,1007,Census Tract 1007,G5020,S,1203877.000000000000000,173339.000000000000000,+42.2826719,-071.0479602,300.967518976000010,18.388077013000000,0.061096549805600
14,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,127,25,025,100603,25025100603,1006.03,Census Tract 1006.03,G5020,S,886469.000000000000000,343678.000000000000000,+42.2915512,-071.0413191,220.209980922999990,53.125104025100001,0.241247484798000
15,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,128,25,025,092101,25025092101,921.01,Census Tract 921.01,G5020,S,1291966.000000000000000,64101.000000000000000,+42.2979499,-071.0541278,319.843708999000000,6.418631030530000,0.020068023381200
16,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,136,25,025,070101,25025070101,701.01,Census Tract 701.01,G5020,S,1019135.000000000000000,89007.000000000000000,+42.3524416,-071.0575175,253.297183644000000,6.379766279360000,0.025186882015700
17,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,137,25,025,061200,25025061200,612,Census Tract 612,G5020,S,1841489.000000000000000,72450.000000000000000,+42.3398086,-071.0567242,455.112653916000000,86.686626729599993,0.190472899366000
18,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,143,25,025,090901,25025090901,909.01,Census Tract 909.01,G5020,S,1173062.000000000000000,349466.000000000000000,+42.3170979,-071.0445333,291.766911940000000,43.848154890300002,0.150284878428000
19,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,144,25,025,060101,25025060101,601.01,Census Tract 601.01,G5020,S,295623.000000000000000,0.000000000000000,+42.3347618,-071.0279302,73.041473053999994,1.949944237380000,0.026696398030500
20,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,146,25,025,180101,25025180101,1801.01,Census Tract 1801.01,G5020,S,1137721.000000000000000,790428.000000000000000,+42.3869153,-070.9750268,281.100611387000010,32.484696055400001,0.115562523664000
21,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,149,25,025,981502,25025981502,9815.02,Census Tract 9815.02,G5020,S,1252250.000000000000000,27493.000000000000000,+42.3963670,-071.0043791,316.154077325000000,78.702383797500005,0.248936798359000
22,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,150,25,025,060600,25025060600,606,Census Tract 606,G5020,S,1260969.000000000000000,632511.000000000000000,+42.3495755,-071.0422812,309.302704575000010,128.890972307999990,0.416714663020000
23,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,152,25,025,060200,25025060200,602,Census Tract 602,G5020,S,170386.000000000000000,0.000000000000000,+42.3325583,-071.0326799,42.098565050900000,0.723882167238000,0.017194936843200
24,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,153,25,025,051200,25025051200,512,Census Tract 512,G5020,S,412098.000000000000000,496108.000000000000000,+42.3642605,-071.0365915,104.223615667999990,35.875701006100002,0.344218541797000
25,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,154,25,025,050700,25025050700,507,Census Tract 507,G5020,S,271727.000000000000000,0.000000000000000,+42.3753575,-071.0332714,67.137422602000001,35.744115816499999,0.532402264359000
26,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,155,25,025,050600,25025050600,506,Census Tract 506,G5020,S,169229.000000000000000,0.000000000000000,+42.3718877,-071.0372695,41.812655650400004,33.840073667799999,0.809326103339000
27,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,156,25,025,050500,25025050500,505,Census Tract 505,G5020,S,114773.000000000000000,0.000000000000000,+42.3697766,-071.0339104,28.358037005700002,3.225404210130000,0.113738627588000
28,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,157,25,025,050400,25025050400,504,Census Tract 504,G5020,S,131979.000000000000000,0.000000000000000,+42.3682184,-071.0379018,32.609176367899998,5.956369849470000,0.182659315963000
29,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,158,25,025,050300,25025050300,503,Census Tract 503,G5020,S,355328.000000000000000,364097.000000000000000,+42.3722392,-071.0434118,86.226349980600006,44.617547736900001,0.517446786823000
30,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,159,25,025,050200,25025050200,502,Census Tract 502,G5020,S,243272.000000000000000,0.000000000000000,+42.3775778,-071.0357577,60.106694198100001,0.460130170545000,0.007655223377090
31,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,162,25,025,030500,25025030500,305,Census Tract 305,G5020,S,190734.000000000000000,292691.000000000000000,+42.3675368,-071.0519594,46.340019529999999,10.567016872500000,0.228032205849000
32,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,163,25,025,180200,25025180200,1802,Census Tract 1802,G5020,S,1067654.000000000000000,240959.000000000000000,+42.3800132,-070.9880989,263.786700413999990,49.614706619400003,0.188086459786000
33,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,164,25,025,981600,25025981600,9816,Census Tract 9816,G5020,S,586984.000000000000000,158872.000000000000000,+42.3886205,-070.9934424,149.641882363000010,131.876094273000010,0.881277969714000
34,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,165,25,025,051101,25025051101,511.01,Census Tract 511.01,G5020,S,1159406.000000000000000,623214.000000000000000,+42.3854556,-071.0043188,287.052486266000020,23.307293719699999,0.081195233745900
