FID,FID_c9inch,FID_1,Shape_Leng,Shape_Area,Shape__Are,Shape__Len,FID_clip_t,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,area,interarea,percentage
0,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,18,25,025,180500,25025180500,1805,Census Tract 1805,G5020,S,782843.000000000000000,1893415.000000000000000,+42.3673241,-070.9695072,193.617951385000000,15.384238760700001,0.079456675637000
1,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,19,25,025,170800,25025170800,1708,Census Tract 1708,G5020,S,843082.000000000000000,503599.000000000000000,+42.3958704,-070.9841693,208.300532139000010,43.072887229999999,0.206782415713000
2,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,24,25,025,160400,25025160400,1604,Census Tract 1604,G5020,S,1294086.000000000000000,3542.000000000000000,+42.3953160,-071.0424960,319.874592951000010,0.169510019839000,0.000529926488613
3,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,48,25,025,100800,25025100800,1008,Census Tract 1008,G5020,S,1765783.000000000000000,141896.000000000000000,+42.2771920,-071.0638243,432.642995005999980,76.089614670299994,0.175871597480000
4,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,53,25,025,981300,25025981300,9813,Census Tract 9813,G5020,S,7157254.000000000000000,2015092.000000000000000,+42.3611289,-071.0069754,1770.684652599999900,32.286749628300001,0.018234048384000
5,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,54,25,025,981201,25025981201,9812.01,Census Tract 9812.01,G5020,S,786643.000000000000000,1328333.000000000000000,+42.3320503,-071.0270465,191.571903528000010,43.174630233899997,0.225370367151000
6,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,55,25,025,990101,25025990101,9901.01,Census Tract 9901.01,G5020,S,0.000000000000000,134592489.000000000000000,+42.3296110,-070.9491995,11.612525736200000,3.144984776810000,0.270826937072000
7,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,56,25,025,981501,25025981501,9815.01,Census Tract 9815.01,G5020,S,915439.000000000000000,1178787.000000000000000,+42.3524288,-071.0878101,516.711467727000010,316.998508185999980,0.613492302736000
8,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,75,25,025,091001,25025091001,910.01,Census Tract 910.01,G5020,S,1186620.000000000000000,449817.000000000000000,+42.3082694,-071.0516795,295.126131773999990,44.183772546000000,0.149711488713000
9,0,1,391282.743031000020000,74208043.052499995000000,0.008106835371470,4.184459464140000,86,25,025,980101,25025980101,9801.01,Census Tract 9801.01,G5020,S,3191250.000000000000000,5488830.000000000000000,+42.3265116,-070.9390337,793.223229718999960,148.718109467000000,0.187485822269000
