FID,FID_PA_BOS,Id,FID_clip_t,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,area,interarea,percentage
0,0,0,18,25,025,180500,25025180500,1805,Census Tract 1805,G5020,S,782843.000000000000000,1893415.000000000000000,+42.3673241,-070.9695072,193.617951385000000,162.271255039000010,0.838100258154000
1,0,0,19,25,025,170800,25025170800,1708,Census Tract 1708,G5020,S,843082.000000000000000,503599.000000000000000,+42.3958704,-070.9841693,208.300532139000010,83.251141136399994,0.399668403539000
2,0,0,20,25,025,170400,25025170400,1704,Census Tract 1704,G5020,S,2334595.000000000000000,264950.000000000000000,+42.4239901,-070.9983953,577.868346944999980,365.676366418999980,0.632802208933000
3,0,0,21,25,025,170300,25025170300,1703,Census Tract 1703,G5020,S,3945724.000000000000000,496855.000000000000000,+42.4308837,-071.0147469,984.557130098000020,246.433682170999990,0.250299017332000
4,0,0,23,25,025,170100,25025170100,1701,Census Tract 1701,G5020,S,1462306.000000000000000,2839.000000000000000,+42.4107259,-071.0218234,362.002336347999970,30.910225156300001,0.085386811223700
5,0,0,24,25,025,160400,25025160400,1604,Census Tract 1604,G5020,S,1294086.000000000000000,3542.000000000000000,+42.3953160,-071.0424960,319.874592951000010,226.065319178000010,0.706731088244000
6,0,0,25,25,025,160200,25025160200,1602,Census Tract 1602,G5020,S,222152.000000000000000,0.000000000000000,+42.3897840,-071.0357615,54.888154452300000,0.108757325475000,0.001981435276160
7,0,0,26,25,025,140400,25025140400,1404,Census Tract 1404,G5020,S,1878139.000000000000000,12733.000000000000000,+42.2692219,-071.1118088,466.883102853000030,5.132509567630000,0.010993136261000
8,0,0,27,25,025,140300,25025140300,1403,Census Tract 1403,G5020,S,1547361.000000000000000,41485.000000000000000,+42.2587734,-071.1188131,390.697490438999980,9.868961096460000,0.025259852796500
9,0,0,28,25,025,140201,25025140201,1402.01,Census Tract 1402.01,G5020,S,1329071.000000000000000,86300.000000000000000,+42.2375306,-071.1305713,349.598335028000010,56.113517205199997,0.160508536749000
10,0,0,29,25,025,140202,25025140202,1402.02,Census Tract 1402.02,G5020,S,1538700.000000000000000,17101.000000000000000,+42.2495181,-071.1175430,376.659082500000010,0.062068904476300,0.000164788020149
11,0,0,30,25,025,140102,25025140102,1401.02,Census Tract 1401.02,G5020,S,2080064.000000000000000,75318.000000000000000,+42.2446858,-071.1424773,532.588690010000050,36.438742860100000,0.068418168736200
12,0,0,31,25,025,130402,25025130402,1304.02,Census Tract 1304.02,G5020,S,2103293.000000000000000,169597.000000000000000,+42.2724011,-071.1694056,561.635762291999980,86.933413261799998,0.154786107115000
13,0,0,34,25,025,130100,25025130100,1301,Census Tract 1301,G5020,S,4344387.000000000000000,45805.000000000000000,+42.2904255,-071.1714978,1084.825180260000000,90.229654719300001,0.083174373494600
14,0,0,45,25,025,101002,25025101002,1010.02,Census Tract 1010.02,G5020,S,1165212.000000000000000,4369.000000000000000,+42.2740572,-071.0853267,288.788683633999990,1.758958212310000,0.006090814190420
15,0,0,46,25,025,101001,25025101001,1010.01,Census Tract 1010.01,G5020,S,1296283.000000000000000,5844.000000000000000,+42.2718109,-071.0999859,321.425740505000020,1.929933533370000,0.006004290541070
16,0,0,47,25,025,100900,25025100900,1009,Census Tract 1009,G5020,S,955495.000000000000000,45716.000000000000000,+42.2740065,-071.0742308,239.402189144000000,8.489210890620001,0.035460038694600
17,0,0,48,25,025,100800,25025100800,1008,Census Tract 1008,G5020,S,1765783.000000000000000,141896.000000000000000,+42.2771920,-071.0638243,432.642995005999980,85.502606585400002,0.197628547260000
18,0,0,53,25,025,981300,25025981300,9813,Census Tract 9813,G5020,S,7157254.000000000000000,2015092.000000000000000,+42.3611289,-071.0069754,1770.684652599999900,137.990558695000000,0.077930623328300
19,0,0,54,25,025,981201,25025981201,9812.01,Census Tract 9812.01,G5020,S,786643.000000000000000,1328333.000000000000000,+42.3320503,-071.0270465,191.571903528000010,142.144424998000010,0.741989938922000
