,panel_name,loan_amount,originations,banksize
0,"1ST ALLIANCE LENDING, LLC",7613,30,3
1,1ST CONSTITUTION BK,224,1,3
2,ABINGTON BK,65579,208,2
3,ACADEMY MORTGAGE CORPORATION,10394,25,3
4,ACCESS NB,1652,6,3
5,ADAMS CMNTY BK,175,1,3
6,ADMIRALS BK,3230,83,3
7,ADVANCIAL FCU,3925,10,3
8,ADVANTAGE BK,390,1,3
9,AFFILIATED MORTGAGE COMPANY,405,1,3
10,ALERUS FNCL NA,1028,1,3
11,ALIGN CU,17414,57,3
12,ALLCOM CU,980,5,3
13,ALLIANT CU,35904,62,2
14,ALLIED FIRST BK SB,378,2,3
15,ALLIED MORTGAGE GROUP,17174,60,3
16,AMER AIRLINES FCU,3349,25,3
17,AMERICAN B&TC NA,512,1,3
18,AMERICAN BK,7937,26,3
19,AMERICAN EQUITY MORTGAGE,1596,7,3
20,"AMERICAN EQUITY MORTGAGE, INC",1184,4,3
21,AMERICAN FEDERAL MORTGAGE COPR,2965,10,3
22,AMERICAN FINANCE HOUSE LARIBA,1631,5,3
23,AMERICAN FINANCIAL RESOURCES,57752,205,2
24,AMERICAN FINANCING CORPORATION,886,4,3
25,AMERICAN INTERNET MORTGAGE,28184,95,3
26,AMERICAN MW BK,560,1,3
27,AMERICAN NATIONWIDE MORTGAGE C,315,1,3
28,AMERICAN NEIGHBORHOOD MORTGAGE,76177,239,2
29,AMERICASH,1260,5,3
30,AMERISAVE MORTGAGE CORPORATION,67642,217,2
31,ANDREWS FCU,702,2,3
32,ANHEUSER-BUSCH EMPL CU,633,2,3
33,ARK-LA-TEX FINANCIAL SERVICES,47688,160,2
34,ARMED FORCES BK NA,300,1,3
35,ARVEST BK,191,1,3
36,ASTORIA BK,3014,5,3
37,ASTORIA FEDERAL MTG. CORP.,47004,72,2
38,ATHOL SVG BK,203,1,3
39,"ATLANTIC HOME LENDING, INC",39562,130,2
40,ATLANTIC HOME LOANS INC.,7975,23,3
41,AVIDIA BK,85142,160,2
42,AVON CO-OP BK,21235,100,3
43,B2R FINANCE L.P.,5943,23,3
44,BAC FL BK,903,1,3
45,BANC OF CA NA,22668,64,3
46,BANGOR SVG BK,689,1,3
47,BANK FUND STAFF FCU,1609,4,3
48,BANK OF AMER NA,1921483,4222,1
49,BANK OF CANTON,819358,2476,1
50,BANK OF CAPE COD,6973,12,3
51,BANK OF EASTON,16766,57,3
52,BANK OF ENGLAND,27229,82,3
53,BANK OF ME,15611,42,3
54,BANK OF NH,2372,41,3
55,BANK OF SPRINGFIELD,310,1,3
56,BANK RHODE ISLAND,11443,6,3
57,BANK SNB,575,1,3
58,BANK2,372,1,3
59,BANKGLOUCESTER,6601,7,3
60,BANKNEWPORT,5366,15,3
61,BARRE SVG BK,395,1,3
62,BARRINGTON B&TC NA,79613,226,2
63,BARRONS MORTGAGE GROUP,10013,29,3
64,BAXTER CU,23962,42,3
65,BAY ST SVG BK,36810,95,2
66,BAYCOAST BK,53521,302,2
67,BCB CMNTY BK,100,1,3
68,BELMONT SVG BK,292542,470,2
69,BENCHMARK BK,4091,13,3
70,BERKELEY POINT CAPITAL,108784,4,2
71,BERKSHIRE BK,474488,1079,2
72,BETHPAGE FCU,418,2,3
73,BEVERLY BK,25821,30,3
74,BEVERLY CO-OP BK,14965,13,3
75,BLACKSTONE RIVER FCU,140,4,3
76,BLUE HILLS BK,505768,1185,2
