,panel_name,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
0,"1ST ALLIANCE LENDING, LLC",1607,0.0,0.0,0.0,254.0
1,ABINGTON BK,17685,0.0,0.0,3578.0,3578.0
2,ACADEMY MORTGAGE CORPORATION,6456,0.0,501.0,631.0,631.0
3,ACCESS NB,717,0.0,0.0,0.0,0.0
4,ADMIRALS BK,855,0.0,0.0,0.0,0.0
5,ADVANCIAL FCU,1160,0.0,0.0,261.0,261.0
6,ADVANTAGE BK,390,0.0,390.0,390.0,390.0
7,ALIGN CU,5520,0.0,542.0,542.0,542.0
8,ALLCOM CU,432,0.0,0.0,0.0,0.0
9,ALLIANT CU,20182,0.0,999.0,2295.0,3766.0
10,ALLIED MORTGAGE GROUP,4330,0.0,0.0,0.0,0.0
11,AMER AIRLINES FCU,1724,0.0,532.0,532.0,803.0
12,AMERICAN BK,2538,0.0,0.0,0.0,0.0
13,AMERICAN EQUITY MORTGAGE,531,0.0,0.0,0.0,0.0
14,"AMERICAN EQUITY MORTGAGE, INC",934,0.0,0.0,0.0,0.0
15,AMERICAN FEDERAL MORTGAGE COPR,689,0.0,0.0,0.0,0.0
16,AMERICAN FINANCE HOUSE LARIBA,266,0.0,0.0,0.0,0.0
17,AMERICAN FINANCIAL RESOURCES,10404,0.0,0.0,0.0,354.0
18,AMERICAN INTERNET MORTGAGE,7642,0.0,375.0,735.0,1371.0
19,AMERICAN NEIGHBORHOOD MORTGAGE,14800,0.0,1216.0,1619.0,3039.0
20,AMERISAVE MORTGAGE CORPORATION,16212,0.0,520.0,750.0,1702.0
21,ARK-LA-TEX FINANCIAL SERVICES,679,0.0,0.0,0.0,0.0
22,ASTORIA BK,1027,0.0,0.0,0.0,0.0
23,ASTORIA FEDERAL MTG. CORP.,14729,0.0,856.0,4187.0,4987.0
24,"ATLANTIC HOME LENDING, INC",4464,0.0,697.0,697.0,697.0
25,ATLANTIC HOME LOANS INC.,1781,0.0,280.0,280.0,280.0
26,AVIDIA BK,39263,0.0,8926.0,9516.0,10076.0
27,AVON CO-OP BK,1670,0.0,0.0,0.0,0.0
28,B2R FINANCE L.P.,3761,0.0,0.0,0.0,0.0
29,BAC FL BK,903,0.0,0.0,0.0,0.0
30,BANC OF CA NA,6185,0.0,1035.0,747.0,1035.0
31,BANGOR SVG BK,689,0.0,0.0,689.0,689.0
32,BANK FUND STAFF FCU,655,0.0,0.0,0.0,0.0
33,BANK OF AMER NA,653588,0.0,41285.0,51956.0,75046.0
34,BANK OF CANTON,193353,0.0,3642.0,10527.0,15675.0
35,BANK OF CAPE COD,3215,0.0,0.0,490.0,907.0
36,BANK OF EASTON,3248,0.0,0.0,0.0,0.0
37,BANK OF ENGLAND,6222,0.0,0.0,0.0,328.0
38,BANK OF ME,4873,0.0,0.0,0.0,0.0
39,BANK RHODE ISLAND,180,0.0,0.0,0.0,0.0
40,BANKGLOUCESTER,6601,0.0,706.0,706.0,2426.0
41,BARRINGTON B&TC NA,22413,0.0,0.0,1626.0,3086.0
42,BARRONS MORTGAGE GROUP,1619,0.0,0.0,0.0,0.0
43,BAXTER CU,9026,0.0,0.0,490.0,490.0
44,BAY ST SVG BK,13848,0.0,0.0,0.0,1328.0
45,BAYCOAST BK,6286,0.0,0.0,831.0,831.0
46,BCB CMNTY BK,100,0.0,0.0,0.0,0.0
47,BELMONT SVG BK,102661,0.0,3429.0,8514.0,11904.0
48,BENCHMARK BK,253,0.0,0.0,0.0,0.0
49,BERKELEY POINT CAPITAL,35984,0.0,0.0,0.0,0.0
50,BERKSHIRE BK,168981,0.0,9497.0,15058.0,27672.0
51,BETHPAGE FCU,380,0.0,0.0,0.0,0.0
52,BEVERLY BK,22717,0.0,6567.0,7324.0,10661.0
53,BEVERLY CO-OP BK,14385,0.0,680.0,2266.0,3141.0
54,BLUE HILLS BK,203379,0.0,3808.0,9283.0,17688.0
55,BMI FCU,432,0.0,0.0,0.0,0.0
56,BMO HARRIS BK NA,950,0.0,0.0,0.0,950.0
57,BNY MELLON NA,111079,0.0,6179.0,12477.0,16242.0
58,BOFI FED BK,8953,0.0,0.0,0.0,0.0
59,BOKF NA,3246,0.0,0.0,0.0,597.0
60,BOSTON FRFTRS CU,59678,0.0,1310.0,5655.0,6930.0
