FID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,area,FID_1,FID_P21inc,FID_12,Shape_Leng,Shape_Area,Shape__Are,Shape__Len,FID_clip_t,STATEFP1_1,COUNTYFP_1,TRACTCE1_1,GEOID10_1,NAME10_1,NAMELSAD_1,MTFCC10_1,FUNCSTAT_1,ALAND10_1,AWATER10_1,INTPTLAT_1,INTPTLON_1,area_1,interarea,percentage
0,25,025,010801,25025010801,108.01,Census Tract 108.01,G5020,S,127905.000000000000000,0.000000000000000,+42.3541193,-071.0770216,31.603543807000001,0,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,2,25,025,010801,25025010801,108.01,Census Tract 108.01,G5020,S,127905.000000000000000,0.000000000000000,+42.3541193,-071.0770216,31.603543807000001,1.124283139480000,0.035574590822700
1,25,025,010802,25025010802,108.02,Census Tract 108.02,G5020,S,155467.000000000000000,0.000000000000000,+42.3515181,-071.0856803,38.414137561399997,1,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,5,25,025,010802,25025010802,108.02,Census Tract 108.02,G5020,S,155467.000000000000000,0.000000000000000,+42.3515181,-071.0856803,38.414137561399997,1.225120390330000,0.031892435132000
2,25,025,010104,25025010104,101.04,Census Tract 101.04,G5020,S,279354.000000000000000,7377.000000000000000,+42.3494322,-071.0937501,70.848750004699994,2,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,6,25,025,010104,25025010104,101.04,Census Tract 101.04,G5020,S,279354.000000000000000,7377.000000000000000,+42.3494322,-071.0937501,70.848750004699994,0.369999847486000,0.005222390620320
3,25,025,180500,25025180500,1805,Census Tract 1805,G5020,S,782843.000000000000000,1893415.000000000000000,+42.3673241,-070.9695072,193.617951385000000,3,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,18,25,025,180500,25025180500,1805,Census Tract 1805,G5020,S,782843.000000000000000,1893415.000000000000000,+42.3673241,-070.9695072,193.617951385000000,3.271717004240000,0.016897797858300
7,25,025,100800,25025100800,1008,Census Tract 1008,G5020,S,1765783.000000000000000,141896.000000000000000,+42.2771920,-071.0638243,432.642995005999980,7,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,48,25,025,100800,25025100800,1008,Census Tract 1008,G5020,S,1765783.000000000000000,141896.000000000000000,+42.2771920,-071.0638243,432.642995005999980,85.346540215600001,0.197267819428000
8,25,025,981300,25025981300,9813,Census Tract 9813,G5020,S,7157254.000000000000000,2015092.000000000000000,+42.3611289,-071.0069754,1770.684652599999900,8,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,53,25,025,981300,25025981300,9813,Census Tract 9813,G5020,S,7157254.000000000000000,2015092.000000000000000,+42.3611289,-071.0069754,1770.684652599999900,239.941199055000000,0.135507583862000
9,25,025,981201,25025981201,9812.01,Census Tract 9812.01,G5020,S,786643.000000000000000,1328333.000000000000000,+42.3320503,-071.0270465,191.571903528000010,9,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,54,25,025,981201,25025981201,9812.01,Census Tract 9812.01,G5020,S,786643.000000000000000,1328333.000000000000000,+42.3320503,-071.0270465,191.571903528000010,137.919715122000010,0.719937071053000
11,25,025,981501,25025981501,9815.01,Census Tract 9815.01,G5020,S,915439.000000000000000,1178787.000000000000000,+42.3524288,-071.0878101,516.711467727000010,11,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,56,25,025,981501,25025981501,9815.01,Census Tract 9815.01,G5020,S,915439.000000000000000,1178787.000000000000000,+42.3524288,-071.0878101,516.711467727000010,358.955929368999990,0.694693173635000
12,25,025,071201,25025071201,712.01,Census Tract 712.01,G5020,S,402228.000000000000000,0.000000000000000,+42.3398063,-071.0670729,99.384410212999995,12,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,74,25,025,071201,25025071201,712.01,Census Tract 712.01,G5020,S,402228.000000000000000,0.000000000000000,+42.3398063,-071.0670729,99.384410212999995,0.180436060810000,0.001815536867640
13,25,025,091001,25025091001,910.01,Census Tract 910.01,G5020,S,1186620.000000000000000,449817.000000000000000,+42.3082694,-071.0516795,295.126131773999990,13,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,75,25,025,091001,25025091001,910.01,Census Tract 910.01,G5020,S,1186620.000000000000000,449817.000000000000000,+42.3082694,-071.0516795,295.126131773999990,83.112547650500005,0.281617039979000
14,25,025,091100,25025091100,911,Census Tract 911,G5020,S,423899.000000000000000,0.000000000000000,+42.3156410,-071.0555949,104.737506424000000,14,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,80,25,025,091100,25025091100,911,Census Tract 911,G5020,S,423899.000000000000000,0.000000000000000,+42.3156410,-071.0555949,104.737506424000000,4.324269936850000,0.041286737525900
15,25,025,090700,25025090700,907,Census Tract 907,G5020,S,1072571.000000000000000,0.000000000000000,+42.3241310,-071.0600285,265.011417708000010,15,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,81,25,025,090700,25025090700,907,Census Tract 907,G5020,S,1072571.000000000000000,0.000000000000000,+42.3241310,-071.0600285,265.011417708000010,35.865235384800002,0.135334679898000
16,25,025,980101,25025980101,9801.01,Census Tract 9801.01,G5020,S,3191250.000000000000000,5488830.000000000000000,+42.3265116,-070.9390337,793.223229718999960,16,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,86,25,025,980101,25025980101,9801.01,Census Tract 9801.01,G5020,S,3191250.000000000000000,5488830.000000000000000,+42.3265116,-070.9390337,793.223229718999960,170.030425656999990,0.214353815277000
18,25,025,040801,25025040801,408.01,Census Tract 408.01,G5020,S,952430.000000000000000,752502.000000000000000,+42.3790410,-071.0520372,235.652889689999990,18,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,88,25,025,040801,25025040801,408.01,Census Tract 408.01,G5020,S,952430.000000000000000,752502.000000000000000,+42.3790410,-071.0520372,235.652889689999990,153.556003186999990,0.651619436490000
19,25,025,100700,25025100700,1007,Census Tract 1007,G5020,S,1203877.000000000000000,173339.000000000000000,+42.2826719,-071.0479602,300.967518976000010,19,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,126,25,025,100700,25025100700,1007,Census Tract 1007,G5020,S,1203877.000000000000000,173339.000000000000000,+42.2826719,-071.0479602,300.967518976000010,35.969987274700003,0.119514515709000
20,25,025,100603,25025100603,1006.03,Census Tract 1006.03,G5020,S,886469.000000000000000,343678.000000000000000,+42.2915512,-071.0413191,220.209980922999990,20,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,127,25,025,100603,25025100603,1006.03,Census Tract 1006.03,G5020,S,886469.000000000000000,343678.000000000000000,+42.2915512,-071.0413191,220.209980922999990,68.209356189999994,0.309746887512000
21,25,025,092101,25025092101,921.01,Census Tract 921.01,G5020,S,1291966.000000000000000,64101.000000000000000,+42.2979499,-071.0541278,319.843708999000000,21,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,128,25,025,092101,25025092101,921.01,Census Tract 921.01,G5020,S,1291966.000000000000000,64101.000000000000000,+42.2979499,-071.0541278,319.843708999000000,8.220233211069999,0.025700781287200
22,25,025,061101,25025061101,611.01,Census Tract 611.01,G5020,S,165282.000000000000000,0.000000000000000,+42.3262844,-071.0542968,40.837574916599998,22,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,129,25,025,061101,25025061101,611.01,Census Tract 611.01,G5020,S,165282.000000000000000,0.000000000000000,+42.3262844,-071.0542968,40.837574916599998,17.445469522400000,0.427191613558000
23,25,025,070700,25025070700,707,Census Tract 707,G5020,S,164131.000000000000000,0.000000000000000,+42.3458876,-071.0761484,40.554221093599999,23,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,131,25,025,070700,25025070700,707,Census Tract 707,G5020,S,164131.000000000000000,0.000000000000000,+42.3458876,-071.0761484,40.554221093599999,1.346102112530000,0.033192651128100
24,25,025,070300,25025070300,703,Census Tract 703,G5020,S,336063.000000000000000,0.000000000000000,+42.3484105,-071.0703571,83.035916548399996,24,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,134,25,025,070300,25025070300,703,Census Tract 703,G5020,S,336063.000000000000000,0.000000000000000,+42.3484105,-071.0703571,83.035916548399996,8.464908736670001,0.101942738619000
25,25,025,070200,25025070200,702,Census Tract 702,G5020,S,268778.000000000000000,0.000000000000000,+42.3496539,-071.0639144,66.411632553399997,25,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,135,25,025,070200,25025070200,702,Census Tract 702,G5020,S,268778.000000000000000,0.000000000000000,+42.3496539,-071.0639144,66.411632553399997,21.904721230100002,0.329832596910000
26,25,025,070101,25025070101,701.01,Census Tract 701.01,G5020,S,1019135.000000000000000,89007.000000000000000,+42.3524416,-071.0575175,253.297183644000000,26,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,136,25,025,070101,25025070101,701.01,Census Tract 701.01,G5020,S,1019135.000000000000000,89007.000000000000000,+42.3524416,-071.0575175,253.297183644000000,50.158179592400003,0.198021071023000
27,25,025,061200,25025061200,612,Census Tract 612,G5020,S,1841489.000000000000000,72450.000000000000000,+42.3398086,-071.0567242,455.112653916000000,27,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,137,25,025,061200,25025061200,612,Census Tract 612,G5020,S,1841489.000000000000000,72450.000000000000000,+42.3398086,-071.0567242,455.112653916000000,238.265416702000010,0.523530635002000
28,25,025,061000,25025061000,610,Census Tract 610,G5020,S,173037.000000000000000,0.000000000000000,+42.3316206,-071.0499171,42.754391395299997,28,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,138,25,025,061000,25025061000,610,Census Tract 610,G5020,S,173037.000000000000000,0.000000000000000,+42.3316206,-071.0499171,42.754391395299997,9.878455717510001,0.231051253336000
