,census_tract_number,9in10yr,9in100yr,21in10yr,21in100yr,fema100yr
0,4176.02,0.0,0.0,0.0,0.0,0.0
1,4091.02,0.0,0.0,0.0,0.0,0.0
2,4421.03,0.0,0.0,0.0,0.0,0.0
3,4196.0,0.0,0.0,0.0,0.0,0.0
4,4101.0,0.0,0.0,0.0,0.0,0.0
5,4431.02,0.0,0.0,0.0,0.0,0.0
6,4113.01,0.0,0.0,0.0,0.0,0.0
7,4421.02,0.0,0.0,0.0,0.0,0.0
8,4001.0,0.0,0.0,0.0,0.0,0.0
9,4071.0,0.0,0.0,0.0,0.0,0.0
10,4003.0,0.0,0.0,0.0,0.0,0.0
11,4010.0,0.0,0.0,0.0,0.0,0.0
12,4231.0,0.0,0.0,0.0,0.0,0.0
13,4179.01,0.0,0.0,0.0,0.0,0.0
14,4203.01,0.0,0.0,0.0,0.0,0.0
15,4081.01,0.0,0.0,0.0,0.0,0.0
16,4104.0,0.0,0.0,0.0,0.0,0.0
17,4122.0,0.0,0.0,0.0,0.0,0.0
18,4007.0,0.0,0.0,0.0,0.0,0.0
19,4163.0,0.0,0.0,0.0,0.0,0.0
20,4175.02,0.0,0.0,0.0,0.0,0.0
21,4043.02,0.0,0.0,0.0,0.0,0.0
22,4043.01,0.0,0.0,0.0,0.0,0.0
23,4181.01,0.0,0.0,0.0,0.0,0.0
24,4176.01,0.0,0.0,0.0,0.0,0.0
25,4005.0,0.0,0.0,0.0,0.0,0.0
26,4042.01,0.0,0.0,0.0,0.0,0.0
27,4153.0,0.0,0.0,0.0,0.0,0.0
28,4175.01,0.0,0.0,0.0,0.0,0.0
29,4011.0,0.0,0.0,0.0,0.0,0.0
30,4195.0,0.0,0.0,0.0,0.0,0.0
31,4180.02,0.0,0.0,0.0,0.0,0.0
32,4223.02,0.0,0.0,0.0,0.0,0.0
33,4564.02,0.0,0.0,0.0,0.0,0.0
34,4561.02,0.0,0.0,0.0,0.0,0.0
35,4172.0,0.0,0.0,0.0,0.0,0.0
36,4111.0,0.0,0.0,0.0,0.0,0.0
37,4141.0,0.0,0.0,0.0,0.0,0.0
38,4179.02,0.0,0.0,0.0,0.0,0.0
39,4224.0,0.0,0.0,0.0,0.0,0.0
40,4212.0,0.0,0.0,0.0,0.0,0.0
41,4225.02,0.0,0.0,0.0,0.0,0.0
42,4173.0,0.0,0.0,0.0,0.0,0.0
43,4422.01,0.0,0.0,0.0,0.0,0.0
44,4171.0,0.0,0.0,0.0,0.0,0.0
45,4227.0,0.0,0.0,0.0,0.0,0.0
46,4024.0,0.0,0.0,0.0,0.0,0.0
47,4431.01,0.0,0.0,0.0,0.0,0.0
48,4051.0,0.0,0.0,0.0,0.0,0.0
49,4572.0,0.0,0.0,0.0,0.0,0.0
50,4112.0,0.0,0.0,0.0,0.0,0.0
51,4006.0,0.0,0.0,0.0,0.0,0.0
52,4561.01,0.0,0.0,0.0,0.0,0.0
53,4162.0,0.0,0.0,0.0,0.0,0.0
54,4221.0,0.0,0.0,0.0,0.0,0.0
55,4134.01,0.0,0.0,0.0,0.0,0.0
56,4012.0,0.0,0.0,0.0,0.0,0.0
57,4008.0,0.0,0.0,0.0,0.0,0.0
58,4121.0,0.0,0.0,0.0,0.0,0.0
59,4091.01,0.0,0.0,0.0,0.0,0.0
