,panel_name,loan_amount,actualshare,expectedshare,delta
0,AMERICAN INTERNET MORTGAGE,187,0.0016014524402880902,0.0004914500696040747,0.0011100023706840155
1,AMERICAN NEIGHBORHOOD MORTGAGE,2142,0.01834390977057267,0.001328313651441584,0.017015596119131088
2,BANK OF AMER NA,988,0.008461149791468626,0.03350528505865194,-0.025044135267183312
3,BANK OF CANTON,245,0.0020981596142811876,0.014287310038697685,-0.012189150424416498
4,BERKSHIRE BK,335,0.0028689121256497874,0.008273742571185716,-0.005404830445535929
5,BOSTON PRIVATE B&TC,2007,0.01718778100351977,0.012794092778533215,0.004393688224986555
6,BROOKLINE BK,150,0.0012845875189476659,0.005543495406186865,-0.0042589078872392
7,CAMBRIDGE SVG BK,768,0.0065770880970120495,0.004573394172424692,0.002003693924587357
8,CAMBRIDGE TC,285,0.002440716286000565,0.0032712188851023428,-0.0008305025991017776
9,CHELSEA BK,341,0.0029202956264076938,7.489277777992837e-05,0.0028454028486277656
10,CITIBANK NA,138,0.0011818205174318527,0.01135826134646508,-0.010176440829033228
11,CITIZENS BK NA,1546,0.013239815361953943,0.012826020293344636,0.00041379506860930726
12,"CITIZENS BK, NA",965,0.008264179705229984,0.00452287860147511,0.0037413011037548734
13,COMMERCE B&TC,109,0.0009334669304353039,0.0013368927542745815,-0.0004034258238392776
14,COMMONWEALTH CO-OP BK,642,0.0054980345810960105,0.0008866642275510077,0.004611370353545002
15,COOPERATIVE BK,760,0.006508576762668174,0.002645014127097037,0.0038635626355711366
16,DIGITAL FCU,330,0.002826092541684865,0.005117312779476917,-0.0022912202377920517
17,DISCOVER HOME LOANS,178,0.0015243771891512302,0.000653459102980865,0.0008709180861703652
18,DITECH FINANCIAL LLC,331,0.0028346564584778495,0.003690095324643539,-0.0008554388661656896
19,EAGLE BK,200,0.001712783358596888,0.00039538852995573364,0.0013173948286411543
20,EAST BOSTON SAVINGS BANK,1569,0.013436785448192585,0.006408380569838657,0.007028404878353928
21,EAST BOSTON SVG BK,3522,0.030162114944891197,0.009290924247324096,0.0208711906975671
22,EAST CAMBRIDGE SVG BK,1476,0.012640341186445032,0.0026274199914090397,0.010012921195035992
23,EAST WEST BK,692,0.005926230420745232,0.0006669380592611643,0.005259292361484068
24,EASTERN BK,1922,0.016459848076116092,0.015693114610850326,0.0007667334652657655
25,"EMBRACE HOME LOANS, INC.",240,0.0020553400303162652,0.002535055138347275,-0.00047971510803100983
26,"ENVOY MORTGAGE, LTD",319,0.0027318894569620363,0.0016267513445040926,0.0011051381124579436
27,EVERETT CO-OP BK,3175,0.027190435817725594,0.0009842776780776756,0.02620615813964792
28,FAIRWAY INDP MORTGAGE CORP,1634,0.013993440039736574,0.017231563970097712,-0.003238123930361138
29,"FBC MORTGAGE, LLC",471,0.004033604809495671,0.005106118096511908,-0.001072513287016237
30,FIDELITY CO-OP BK,188,0.0016100163570810747,0.0004828186551684369,0.0011271977019126377
31,FINANCE OF AMERICA MORTGAGE,266,0.002278001866933861,0.0013631531787999768,0.0009148486881338843
32,FIRST REPUBLIC BK,410,0.00351120588512362,0.029893343268352905,-0.026382137383229285
33,FIRSTBANK,252,0.002158107031832079,0.0007447602867889454,0.0014133467450431335
34,FIRSTRUST SVG BK,230,0.001969700862386421,0.001689316021261807,0.00028038484112461403
35,GMH MORTGAGE SERVICES LLC,740,0.006337298426808485,0.0017811054466945293,0.004556192980113956
36,GREYLOCK FCU,200,0.001712783358596888,5.597341482504541e-06,0.0017071860171143833
37,GUARANTEED RATE INC.,7638,0.06541119646481515,0.034185335892974934,0.031225860571840215
38,HARVARD UNIV EMPL CU,370,0.0031686492134042426,0.002001912721438937,0.0011667364919653055
39,HINGHAM INST FOR SVG,246,0.002106723531074172,0.009748807705234024,-0.007642084174159852
40,HOME POINT FINANCIAL CORP,303,0.002594866788274285,0.0017403721454386707,0.0008544946428356145
41,JG WENTWORTH HOME LENDING LLC,220,0.0018840616944565767,0.00016586265477128723,0.0017181990396852895
42,JPMORGAN CHASE BK NA,178,0.0015243771891512302,0.032789522836926564,-0.031265145647775335
43,LAKE SUNAPEE BK FSB,326,0.002791836874512927,0.0001008567698903622,0.002690980104622565
44,"LAKEVIEW LOAN SERVICING, LLC",451,0.003862326473635982,0.0008891228728750985,0.0029732036007608835
45,LOANDEPOT.COM,914,0.007827419948787778,0.033806355769047336,-0.025978935820259556
46,MEETINGHOUSE BK,206,0.0017641668593547945,0.003644252923529817,-0.0018800860641750225
47,MERRIMACK MORTGAGE COMPANY,397,0.0033998749668148224,0.005679592759055861,-0.002279717792241039
48,METRO CU,2503,0.02143548373284005,0.004766144990953057,0.016669338741886995
49,MILITARY FAMILY HOME LOANS,316,0.002706197706583083,3.7734102704485434e-05,0.0026684636038785976
50,MORTGAGE EQUITY PARTNERS,644,0.0055151624146819785,0.0012263060262931364,0.0042888563883888425
51,"MORTGAGE FINANCIAL SERVICES,IN",515,0.0044104171483869865,0.003293730311438521,0.0011166868369484654
52,"MORTGAGE MASTER, INC.",627,0.005369575829201244,0.008896808633032608,-0.0035272328038313643
53,"MORTGAGE NETWORK, INC",1488,0.012743108187960846,0.010447132726079323,0.002295975461881523
54,MOUNTAINONE BK,2575,0.022052085741934933,0.0034697239799211326,0.0185823617620138
55,MSA MORTGAGE LLC,4634,0.03968519041868989,0.008754625697056465,0.030930564721633427
56,NATIONSTAR MORTGAGE LLC,710,0.006080380923018952,0.002609913041725443,0.0034704678812935087
57,NAVEO CU,198,0.001695655525010919,0.00010342003841973344,0.0015922354865911855
58,NAVY FCU,362,0.0031001378790603672,0.0015077250112966905,0.0015924128677636768
59,NEW FED MORTGAGE CORP,915,0.007835983865580763,0.0033057445428448943,0.0045302393227358686
60,NEW PENN FINANCIAL LLC,220,0.0018840616944565767,0.002434233242858673,-0.0005501715484020962
61,"NEWDAY FINANCIAL, LLC",246,0.002106723531074172,0.000534153774559382,0.00157256975651479
62,NORTH SHORE BK A CO-OP BK,180,0.0015415050227371991,0.00021827888061679704,0.001323226142120402
63,NORTHMARK BK,315,0.0026976337897900984,0.00020577640758578225,0.002491857382204316
64,"OCWEN LOAN SERVICING, LLC",741,0.006345862343601469,0.005064617558417326,0.0012812447851841434
65,PILGRIM BK,73,0.0006251659258878641,0.0013658908193381488,-0.0007407248934502847
66,PMAC LENDING SERVICES INC,333,0.0028517842920638184,0.0011182128180375428,0.0017335714740262756
67,PNC BK NA,17096,0.14640872149286197,0.006036096331049025,0.14037262516181295
68,PREMIA MORTGAGE LLC,270,0.0023122575341057985,0.00012654176678671483,0.0021857157673190837
69,PRIMELENDING A PLAINSCAPITAL C,4209,0.03604552578167151,0.0046617135948822785,0.03138381218678923
70,"PROSPECT MORTGAGE, LLC",248,0.002123851364660141,0.013467761597334087,-0.011343910232673945
71,"QUICKEN LOANS, INC.",2290,0.019611369455934367,0.029287470286573768,-0.009676100830639401
72,RADIUS FINANCIAL GROUP INC.,218,0.0018669338608706077,0.010516567659983787,-0.008649633799113179
73,RESIDENTIAL MORTGAGE SERVICES,2083,0.01783863867978659,0.01981265331876839,-0.001974014638981801
74,RIVER WKS CU,324,0.002774709040926958,0.0004430792743627427,0.0023316297665642157
75,ROCKLAND TC,1370,0.011732566006388681,0.015256260417201769,-0.0035236944108130875
76,SAGE BK,3043,0.02605999880105165,0.005778287316037095,0.020281711485014554
77,"SALEM FIVE MORTGAGE CO., LLC",1043,0.00893216521508277,0.013622168011127166,-0.004690002796044396
78,SANTANDER BK NA,2173,0.01860939119115519,0.02161700255423606,-0.0030076113630808712
