,census_tract_number,panel_name,loan_amount,rank
62,1.0,SALEM FIVE CENTS SVG BK,25040,1.0
24,1.0,EASTERN BK,8977,2.0
7,1.0,BELMONT SVG BK,6947,3.0
70,1.0,UNION YES FCU,5476,4.0
61,1.0,ROCKLAND TC,4134,5.0
74,1.0,"WALKER & DUNLOP, LLC",3934,6.0
10,1.0,BROOKLINE BK,3068,7.0
64,1.0,SANTANDER BK NA,2755,8.0
67,1.0,"STEARNS LENDING, INC.",2587,9.0
76,1.0,WASHINGTON TR MTG CO LLC,2282,10.0
146,2.01,"SALEM FIVE MORTGAGE CO., LLC",3912,1.0
116,2.01,LOANDEPOT.COM,3638,2.0
97,2.01,DIGITAL FCU,3369,3.0
147,2.01,SANTANDER BK NA,3265,4.0
109,2.01,GUARANTEED RATE INC.,3089,5.0
103,2.01,FAIRWAY INDP MORTGAGE CORP,2790,6.0
157,2.01,VILLAGE BK,2705,7.0
134,2.01,PATRIOT COMNTY BK,2667,8.0
155,2.01,UNITED SHORE FINANCIAL SERVICE,2402,9.0
154,2.01,UNION YES FCU,2380,10.0
182,2.02,DIGITAL FCU,4525,1.0
225,2.02,SOUTH SHORE BK,3556,2.0
223,2.02,"SALEM FIVE MORTGAGE CO., LLC",3415,3.0
196,2.02,JPMORGAN CHASE BK NA,2820,4.0
209,2.02,NEEDHAM BK,2780,5.0
198,2.02,LOANDEPOT.COM,2779,6.0
221,2.02,ROCKLAND TC,2770,7.0
233,2.02,WEBSTER BK NA,2440,8.0
229,2.02,VILLAGE BK,2320,9.0
227,2.02,UNION YES FCU,2234,10.0
243,3.01,BROOKLINE BK,16400,1.0
286,3.01,PATRIOT COMNTY BK,3871,2.0
272,3.01,LOANDEPOT.COM,3482,3.0
265,3.01,GUARANTEED RATE INC.,3341,4.0
258,3.01,"FBC MORTGAGE, LLC",3248,5.0
296,3.01,ROCKLAND TC,3138,6.0
302,3.01,UNION YES FCU,2821,7.0
292,3.01,"QUICKEN LOANS, INC.",2649,8.0
307,3.01,WASHINGTON TR MTG CO LLC,2342,9.0
299,3.01,SANTANDER BK NA,2055,10.0
392,3.02,UNION YES FCU,5032,1.0
346,3.02,GUARANTEED RATE INC.,3969,2.0
313,3.02,BANK OF AMER NA,3178,3.0
388,3.02,SANTANDER BK NA,3123,4.0
354,3.02,LOANDEPOT.COM,2982,5.0
400,3.02,WASHINGTON TR MTG CO LLC,2189,6.0
403,3.02,WELLS FARGO BK NA,2029,7.0
316,3.02,BELMONT SVG BK,1617,8.0
355,3.02,LUXURY MORTGAGE CORP.,1451,9.0
371,3.02,PEOPLES FSB,1266,10.0
422,4.01,CAPITAL ONE NA,15014,1.0
419,4.01,BROOKLINE BK,8386,2.0
429,4.01,DIGITAL FCU,7380,3.0
480,4.01,UNION YES FCU,4695,4.0
412,4.01,BELMONT SVG BK,3433,5.0
441,4.01,FIRST REPUBLIC BK,2825,6.0
443,4.01,GUARANTEED RATE INC.,2759,7.0
449,4.01,LOANDEPOT.COM,2684,8.0
470,4.01,"QUICKEN LOANS, INC.",1699,9.0
475,4.01,SANTANDER BK NA,1488,10.0
523,4.02,GUARANTEED RATE INC.,6273,1.0
567,4.02,UNION YES FCU,5537,2.0
528,4.02,JPMORGAN CHASE BK NA,5076,3.0
518,4.02,FIRST REPUBLIC BK,2947,4.0
530,4.02,LOANDEPOT.COM,2661,5.0
560,4.02,ROCKLAND TC,2546,6.0
544,4.02,NEEDHAM BK,2461,7.0
512,4.02,"FBC MORTGAGE, LLC",2289,8.0
536,4.02,MIDDLESEX SVG BK,2244,9.0
511,4.02,FAIRWAY INDP MORTGAGE CORP,2042,10.0
629,5.02,UNITED BK,6000,1.0
575,5.02,BANK OF AMER NA,3476,2.0
601,5.02,FIRST REPUBLIC BK,2569,3.0
631,5.02,WASHINGTON TR MTG CO LLC,2421,4.0
595,5.02,EASTERN BK,1800,5.0
623,5.02,"SALEM FIVE MORTGAGE CO., LLC",1766,6.0
628,5.02,UNION YES FCU,1581,7.0
607,5.02,LOANDEPOT.COM,1543,8.0
586,5.02,CAPITAL ONE NA,1450,9.0
633,5.02,WINCHESTER CO-OP BK,1280,10.0
647,5.03,CAPITAL ONE NA,21368,1.0
661,5.03,GUARANTEED RATE INC.,3159,2.0
674,5.03,NEEDHAM BK,1673,3.0
656,5.03,FAIRWAY INDP MORTGAGE CORP,1479,4.0
687,5.03,"STEARNS LENDING, INC.",1454,5.0
664,5.03,HINGHAM INST FOR SVG,1415,6.5
695,5.03,WASHINGTON TR MTG CO LLC,1415,6.5
654,5.03,EAST BOSTON SVG BK,1403,8.0
686,5.03,SAGE BK,1322,9.0
667,5.03,LOANDEPOT.COM,1271,10.0
712,5.04,CAPITAL ONE NA,17971,1.0
742,5.04,M&T RLTY CAP CORP,8450,2.0
733,5.04,GUARANTEED RATE INC.,5237,3.0
720,5.04,DIGITAL FCU,4376,4.0
724,5.04,FAIRWAY INDP MORTGAGE CORP,3655,5.0
781,5.04,WASHINGTON TR MTG CO LLC,2704,6.0
768,5.04,SAGE BK,2422,7.0
740,5.04,LOANDEPOT.COM,2180,8.0
727,5.04,FIRST REPUBLIC BK,1959,9.0
764,5.04,"QUICKEN LOANS, INC.",1958,10.0
819,6.01,HINGHAM INST FOR SVG,7661,1.0
792,6.01,BOSTON PRIVATE B&TC,7468,2.0
828,6.01,NORTHERN B&TC,4800,3.0
816,6.01,GUARANTEED RATE INC.,4247,4.0
821,6.01,LOANDEPOT.COM,3447,5.0
793,6.01,BROOKLINE BK,2330,6.0
847,6.01,UNION YES FCU,2316,7.0
786,6.01,BANK OF AMER NA,2209,8.0
825,6.01,NEEDHAM BK,1996,9.0
843,6.01,"STEARNS LENDING, INC.",1986,10.0
879,6.02,LOANDEPOT.COM,2869,1.0
888,6.02,NEEDHAM BK,1937,2.0
882,6.02,MIDDLESEX SVG BK,1936,3.0
867,6.02,EASTERN BK,1905,4.0
858,6.02,BOSTON PRIVATE B&TC,1797,5.0
899,6.02,ROCKLAND TC,1765,6.0
856,6.02,BELMONT SVG BK,1665,7.0
905,6.02,WASHINGTON TR MTG CO LLC,1509,8.0
855,6.02,BANK OF CANTON,1430,9.0
901,6.02,SANTANDER BK NA,1317,10.0
918,7.01,CAPITAL ONE NA,15562,1.0
938,7.01,M&T RLTY CAP CORP,10000,2.0
923,7.01,DIGITAL FCU,5156,3.0
956,7.01,ROCKLAND TC,4000,4.0
935,7.01,JPMORGAN CHASE BK NA,3689,5.0
926,7.01,FAIRWAY INDP MORTGAGE CORP,2827,6.0
968,7.01,WASHINGTON TR MTG CO LLC,2434,7.0
925,7.01,EASTERN BK,1646,8.0
911,7.01,BANK OF AMER NA,1636,9.0
932,7.01,GUARANTEED RATE INC.,1442,10.0
989,7.03,UNION YES FCU,8941,1.0
987,7.03,ROCKLAND TC,5000,2.0
979,7.03,JPMORGAN CHASE BK NA,4800,3.0
977,7.03,FIRST REPUBLIC BK,3800,4.0
991,7.03,WELLESLEY BK,2323,5.0
982,7.03,MIDDLESEX FED SVG FA,2000,6.0
981,7.03,METRO CU,800,7.0
972,7.03,BROOKLINE BK,788,8.0
978,7.03,HINGHAM INST FOR SVG,675,9.0
984,7.03,PARKSIDE LENDING LLC,645,10.5
988,7.03,SIERRA PACIFIC MORTGAGE,645,10.5
996,7.04,BOSTON PRIVATE B&TC,13100,1.0
1014,7.04,JPMORGAN CHASE BK NA,7525,2.0
1033,7.04,ROCKLAND TC,6722,3.0
1040,7.04,WASHINGTON TR MTG CO LLC,4744,4.0
1027,7.04,PEOPLES UNITED BK,3510,5.0
999,7.04,CAPITAL ONE NA,3049,6.0
1006,7.04,EASTERN BK,2300,7.0
1041,7.04,WELLESLEY BK,2106,8.0
1013,7.04,HINGHAM INST FOR SVG,1500,9.0
1000,7.04,CATHAY BK,1460,10.0
1069,8.02,EAST BOSTON SAVINGS BANK,15000,1.0
1087,8.02,KEYBANK NA,10000,2.0
1120,8.02,T D BK NA,9725,3.0
1113,8.02,ROCKLAND TC,8071,4.0
1127,8.02,WASHINGTON TR MTG CO LLC,7251,5.0
1090,8.02,M&T RLTY CAP CORP,6735,6.0
1123,8.02,UNION YES FCU,4284,7.0
1048,8.02,BANK OF AMER NA,4238,8.0
1066,8.02,DIGITAL FCU,4000,9.0
1078,8.02,FIRST REPUBLIC BK,3586,10.0
1134,8.03,FAIRWAY INDP MORTGAGE CORP,504,1.0
1135,8.03,"MORTGAGE MASTER, INC.",347,2.0
1136,8.03,ROCKLAND TC,200,3.0
1137,101.03,BROOKLINE BK,1664,1.0
1139,101.03,CENTURY B&TC,1056,2.0
1142,101.03,FIRST REPUBLIC BK,842,3.0
1140,101.03,COMMERCE B&TC,750,4.0
1143,101.03,HINGHAM INST FOR SVG,598,5.0
1138,101.03,CAMBRIDGE TC,250,6.0
1141,101.03,EASTERN BK,205,7.0
1217,101.04,WELLS FARGO BK NA,10104,1.0
1174,101.04,FIRST REPUBLIC BK,9410,2.0
1163,101.04,DIGITAL FCU,8671,3.0
1178,101.04,JPMORGAN CHASE BK NA,5928,4.0
1193,101.04,NORTHERN TC,5484,5.0
1146,101.04,BANK OF AMER NA,4382,6.0
1158,101.04,CITIBANK NA,4104,7.0
1216,101.04,WELLESLEY BK,3429,8.0
1180,101.04,LOANDEPOT.COM,3361,9.0
1210,101.04,UNION YES FCU,3226,10.0
1227,102.03,CAPITAL ONE NA,93310,1.0
1245,102.03,HINGHAM INST FOR SVG,5300,2.0
1243,102.03,FIRST REPUBLIC BK,2493,3.0
1235,102.03,EASTERN BK,1638,4.0
1222,102.03,BANK OF AMER NA,1483,5.0
1223,102.03,BANK OF CANTON,1355,6.0
1246,102.03,JEANNE D'ARC CU,1291,7.0
1266,102.03,WASHINGTON TR MTG CO LLC,1216,8.0
1237,102.03,FAIRWAY INDP MORTGAGE CORP,1179,9.0
1225,102.03,BLUE HILLS BK,960,10.0
1285,102.04,COMMERCE B&TC,36850,1.0
1309,102.04,T D BK NA,14000,2.0
1291,102.04,EASTERN BK,11680,3.0
1299,102.04,HINGHAM INST FOR SVG,3300,4.0
1297,102.04,HARBORONE BK,3000,5.0
1296,102.04,GUARANTEED RATE INC.,2089,6.0
1311,102.04,WASHINGTON TR MTG CO LLC,1998,7.0
1271,102.04,BANK OF AMER NA,1480,8.0
1306,102.04,"SALEM FIVE MORTGAGE CO., LLC",1415,9.0
1300,102.04,JPMORGAN CHASE BK NA,1343,10.0
1321,103.0,RADIUS FINANCIAL GROUP INC.,606,1.0
1325,103.0,WELLS FARGO BK NA,350,2.0
1324,103.0,UNION YES FCU,296,3.0
1319,103.0,"PROSPECT MORTGAGE, LLC",266,4.0
1316,103.0,GMH MORTGAGE SERVICES LLC,228,5.0
1314,103.0,FEDERAL SVGS BK,227,6.0
1322,103.0,RESIDENTIAL MORTGAGE SERVICES,221,7.0
1320,103.0,"QUICKEN LOANS, INC.",203,8.0
1315,103.0,FIRST REPUBLIC BK,196,9.0
1323,103.0,SAGE BK,173,10.0
1337,104.03,CAPITAL ONE NA,56136,1.0
1348,104.03,GUARANTEED RATE INC.,9882,2.0
1346,104.03,"FBC MORTGAGE, LLC",6690,3.0
