panel_name,loan_amount,expectedshare
UNION YES FCU,2302502,0.040149189900777794
WELLS FARGO BK NA,2093657,0.036507517682978226
GUARANTEED RATE INC.,1960483,0.03418533589297493
LOANDEPOT.COM,1938749,0.03380635576904734
BANK OF AMER NA,1921483,0.03350528505865194
JPMORGAN CHASE BK NA,1880435,0.032789522836926564
FIRST REPUBLIC BK,1714343,0.029893343268352905
"QUICKEN LOANS, INC.",1679597,0.02928747028657377
SANTANDER BK NA,1239706,0.02161700255423606
RESIDENTIAL MORTGAGE SERVICES,1136229,0.01981265331876839
NEEDHAM BK,996480,0.017375821932978583
FAIRWAY INDP MORTGAGE CORP,988207,0.017231563970097712
EASTERN BK,899979,0.015693114610850326
ROCKLAND TC,874926,0.01525626041720177
BANK OF CANTON,819358,0.014287310038697683
"SALEM FIVE MORTGAGE CO., LLC",781213,0.013622168011127166
"PROSPECT MORTGAGE, LLC",772358,0.013467761597334088
CITIZENS BK NA,735555,0.012826020293344636
BOSTON PRIVATE B&TC,733724,0.012794092778533215
CITIBANK NA,651381,0.01135826134646508
RADIUS FINANCIAL GROUP INC.,603111,0.010516567659983789
"MORTGAGE NETWORK, INC",599129,0.010447132726079325
HINGHAM INST FOR SVG,559081,0.009748807705234024
EAST BOSTON SVG BK,532822,0.009290924247324096
"MORTGAGE MASTER, INC.",510220,0.008896808633032608
BLUE HILLS BK,505768,0.008819178214714507
MSA MORTGAGE LLC,502066,0.008754625697056465
PEOPLES UNITED BK,500888,0.008734084674419735
BERKSHIRE BK,474488,0.008273742571185716
WEBSTER BK NA,465199,0.008111768412210686
WASHINGTON TR MTG CO LLC,439205,0.007658505812533979
DEDHAM INST FOR SVG,432078,0.007534230881861673
UNITED SHORE FINANCIAL SERVICE,416140,0.007256316774235015
"STEARNS LENDING, INC.",380150,0.006628751914561064
HARBORONE BK,370086,0.0064532639249039745
EAST BOSTON SAVINGS BANK,367512,0.006408380569838657
CAPITAL ONE NA,353429,0.006162812469844541
PEOPLES UNITED BK NA,347073,0.006051981621050775
PNC BK NA,346162,0.006036096331049025
SAGE BK,331377,0.005778287316037095
RANDOLPH SVG BK,330220,0.005758112474618846
MERRIMACK MORTGAGE COMPANY,325717,0.005679592759055862
BROOKLINE BK,317912,0.005543495406186865
WELLESLEY BK,305608,0.0053289480865584046
DIGITAL FCU,293471,0.005117312779476917
"FBC MORTGAGE, LLC",292829,0.005106118096511908
BELMONT SVG BK,292542,0.005101113619859325
